#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABCC1	PLEKHA4	9606.ENSP00000382342	9606.ENSP00000263265	0	0	0	0	0	0.292	0	0	0.292
ABCC1	RHOB	9606.ENSP00000382342	9606.ENSP00000272233	0	0	0	0	0	0.184	0	0	0.184
ABCC1	VIRMA	9606.ENSP00000382342	9606.ENSP00000297591	0	0	0	0	0	0.292	0	0	0.292
ABCC1	CAV1	9606.ENSP00000382342	9606.ENSP00000339191	0	0	0	0	0	0.330	0	0	0.329
ABCC1	DAP3	9606.ENSP00000382342	9606.ENSP00000357320	0	0	0	0	0	0.239	0	0	0.238
ABCC1	VDAC1	9606.ENSP00000382342	9606.ENSP00000378487	0	0	0	0	0	0.208	0	0	0.208
ABCC1	ATP5F1A	9606.ENSP00000382342	9606.ENSP00000381736	0	0	0	0	0	0.328	0	0	0.328
ABCC1	PTGES3	9606.ENSP00000382342	9606.ENSP00000482075	0	0	0	0	0	0.243	0	0	0.243
ABCC1	RHOA	9606.ENSP00000382342	9606.ENSP00000400175	0	0	0	0	0	0.183	0	0	0.183
ACADSB	NR3C1	9606.ENSP00000357873	9606.ENSP00000231509	0	0	0	0	0	0.420	0	0	0.420
ACADSB	PLEKHA4	9606.ENSP00000357873	9606.ENSP00000263265	0	0	0	0	0	0.292	0	0	0.292
ACADSB	LRRK2	9606.ENSP00000357873	9606.ENSP00000298910	0	0	0	0	0	0.292	0	0	0.292
ACADSB	HSPD1	9606.ENSP00000357873	9606.ENSP00000340019	0	0	0	0	0	0.244	0	0	0.244
ACADSB	PHB	9606.ENSP00000357873	9606.ENSP00000479488	0	0	0	0	0	0.292	0	0	0.292
ACADSB	ETFA	9606.ENSP00000357873	9606.ENSP00000452762	0	0	0	0	0	0.445	0	0	0.445
ACADVL	NR3C1	9606.ENSP00000438689	9606.ENSP00000231509	0	0	0	0	0	0.292	0	0	0.292
ACADVL	CANX	9606.ENSP00000438689	9606.ENSP00000247461	0	0	0	0	0	0.152	0	0	0.152
ACADVL	ANLN	9606.ENSP00000438689	9606.ENSP00000265748	0	0	0	0	0	0.292	0	0	0.292
ACADVL	KIF14	9606.ENSP00000438689	9606.ENSP00000356319	0	0	0	0	0	0.292	0	0	0.292
ACADVL	BTF3	9606.ENSP00000438689	9606.ENSP00000369965	0	0	0	0	0	0.292	0	0	0.292
ACADVL	AGR2	9606.ENSP00000438689	9606.ENSP00000391490	0	0	0	0	0	0.166	0	0	0.165
ACADVL	NR2C2	9606.ENSP00000438689	9606.ENSP00000483059	0	0	0	0	0	0.292	0	0	0.292
ACADVL	ETFA	9606.ENSP00000438689	9606.ENSP00000452762	0	0	0	0	0	0.445	0	0	0.445
ACOT8	NR3C1	9606.ENSP00000217455	9606.ENSP00000231509	0	0	0	0	0	0.169	0	0	0.169
ACOT8	PLEKHA4	9606.ENSP00000217455	9606.ENSP00000263265	0	0	0	0	0	0.292	0	0	0.292
ACOT8	CIT	9606.ENSP00000217455	9606.ENSP00000376306	0	0	0	0	0	0.292	0	0	0.292
ACOT8	PHB	9606.ENSP00000217455	9606.ENSP00000479488	0	0	0	0	0	0.292	0	0	0.292
ACOT8	PML	9606.ENSP00000217455	9606.ENSP00000268058	0	0	0	0	0	0.526	0	0	0.526
ACSL1	NR3C1	9606.ENSP00000422607	9606.ENSP00000231509	0	0	0	0	0	0.300	0	0	0.300
ACSL1	NR3C2	9606.ENSP00000422607	9606.ENSP00000350815	0	0	0	0	0	0.169	0	0	0.169
ACSL3	NR3C1	9606.ENSP00000350012	9606.ENSP00000231509	0	0	0	0	0	0.292	0	0	0.292
ACSL3	H4C6	9606.ENSP00000350012	9606.ENSP00000244537	0	0	0	0	0	0.314	0	0	0.314
ACSL3	CANX	9606.ENSP00000350012	9606.ENSP00000247461	0	0	0	0	0	0.219	0	0	0.219
ACSL3	AKIRIN2	9606.ENSP00000350012	9606.ENSP00000257787	0	0	0	0	0	0.292	0	0	0.292
ACSL3	PLEKHA4	9606.ENSP00000350012	9606.ENSP00000263265	0	0	0	0	0	0.292	0	0	0.292
ACSL3	ANLN	9606.ENSP00000350012	9606.ENSP00000265748	0	0	0	0	0	0.292	0	0	0.292
ACSL3	EGFR	9606.ENSP00000350012	9606.ENSP00000275493	0	0	0	0	0	0.181	0	0	0.181
ACSL3	VIRMA	9606.ENSP00000350012	9606.ENSP00000297591	0	0	0	0	0	0.292	0	0	0.292
ACSL3	LRRK2	9606.ENSP00000350012	9606.ENSP00000298910	0	0	0	0	0	0.298	0	0	0.298
ACSL3	SOX2	9606.ENSP00000350012	9606.ENSP00000323588	0	0	0	0	0	0.292	0	0	0.292
ACSL3	ACSL4	9606.ENSP00000350012	9606.ENSP00000339787	0	0	0	0.971	0	0.420	0	0	0.420
ACSL3	RHOA	9606.ENSP00000350012	9606.ENSP00000400175	0	0	0	0	0	0.189	0	0	0.189
ACSL3	TES	9606.ENSP00000350012	9606.ENSP00000350937	0	0	0	0	0	0.292	0	0	0.292
ACSL3	RNF4	9606.ENSP00000350012	9606.ENSP00000426503	0	0	0	0	0	0.292	0	0	0.292
ACSL3	BRD7	9606.ENSP00000350012	9606.ENSP00000378181	0	0	0	0	0	0.292	0	0	0.292
ACSL3	CIT	9606.ENSP00000350012	9606.ENSP00000376306	0	0	0	0	0	0.292	0	0	0.292
ACSL3	KIF14	9606.ENSP00000350012	9606.ENSP00000356319	0	0	0	0	0	0.292	0	0	0.292
ACSL3	OBSL1	9606.ENSP00000350012	9606.ENSP00000385636	0	0	0	0	0	0.314	0	0	0.314
ACSL4	NR3C1	9606.ENSP00000339787	9606.ENSP00000231509	0	0	0	0	0	0.420	0	0	0.420
ACSL4	AKIRIN2	9606.ENSP00000339787	9606.ENSP00000257787	0	0	0	0	0	0.292	0	0	0.292
ACSL4	PLEKHA4	9606.ENSP00000339787	9606.ENSP00000263265	0	0	0	0	0	0.292	0	0	0.292
ACSL4	ANLN	9606.ENSP00000339787	9606.ENSP00000265748	0	0	0	0	0	0.292	0	0	0.292
ACSL4	TP53	9606.ENSP00000339787	9606.ENSP00000269305	0	0	0	0	0	0.239	0	0	0.239
ACSL4	RHOB	9606.ENSP00000339787	9606.ENSP00000272233	0	0	0	0	0	0.325	0	0	0.325
ACSL4	LRRK2	9606.ENSP00000339787	9606.ENSP00000298910	0	0	0	0	0	0.298	0	0	0.298
ACSL4	HNRNPD	9606.ENSP00000339787	9606.ENSP00000313199	0	0	0	0	0	0.198	0	0	0.198
ACSL4	RHOA	9606.ENSP00000339787	9606.ENSP00000400175	0	0	0	0	0	0.188	0	0	0.188
ACSL4	RNF4	9606.ENSP00000339787	9606.ENSP00000426503	0	0	0	0	0	0.292	0	0	0.292
ACSL4	CIT	9606.ENSP00000339787	9606.ENSP00000376306	0	0	0	0	0	0.292	0	0	0.292
ACSL4	KIF14	9606.ENSP00000339787	9606.ENSP00000356319	0	0	0	0	0	0.292	0	0	0.292
ACSL4	BRD7	9606.ENSP00000339787	9606.ENSP00000378181	0	0	0	0	0	0.292	0	0	0.292
ACSL4	PHB	9606.ENSP00000339787	9606.ENSP00000479488	0	0	0	0	0	0.292	0	0	0.292
ACTG1	PDCD7	9606.ENSP00000458162	9606.ENSP00000204549	0	0	0	0	0	0.153	0	0	0.152
ACTG1	TXN2	9606.ENSP00000458162	9606.ENSP00000216185	0	0	0	0	0	0.239	0	0	0.239
ACTG1	NR3C1	9606.ENSP00000458162	9606.ENSP00000231509	0	0	0	0	0	0.296	0	0	0.296
ACTG1	H4C6	9606.ENSP00000458162	9606.ENSP00000244537	0	0	0	0	0	0.365	0	0	0.365
ACTG1	TRAF2	9606.ENSP00000458162	9606.ENSP00000247668	0	0	0	0	0	0.679	0	0	0.679
ACTG1	DPF2	9606.ENSP00000458162	9606.ENSP00000252268	0	0	0	0	0	0.198	0	0	0.198
ACTG1	SMARCC1	9606.ENSP00000458162	9606.ENSP00000254480	0	0	0	0	0	0.309	0	0	0.309
ACTG1	AKIRIN2	9606.ENSP00000458162	9606.ENSP00000257787	0	0	0	0	0	0.306	0	0	0.306
ACTG1	PLEKHA4	9606.ENSP00000458162	9606.ENSP00000263265	0	0	0	0	0	0.326	0	0	0.326
ACTG1	BRD4	9606.ENSP00000458162	9606.ENSP00000263377	0	0	0	0	0	0.359	0	0	0.359
ACTG1	WDR76	9606.ENSP00000458162	9606.ENSP00000263795	0	0	0	0	0	0.309	0	0	0.309
ACTG1	ARID4B	9606.ENSP00000458162	9606.ENSP00000264183	0	0	0	0	0	0.302	0	0	0.302
ACTG1	ANLN	9606.ENSP00000458162	9606.ENSP00000265748	0	0	0	0	0	0.191	0	0	0.191
ACTG1	RPS27A	9606.ENSP00000458162	9606.ENSP00000272317	0	0	0	0	0	0.158	0	0	0.157
ACTG1	ARPC5	9606.ENSP00000458162	9606.ENSP00000294742	0	0	0	0	0	0.386	0	0	0.386
ACTG1	LRRK2	9606.ENSP00000458162	9606.ENSP00000298910	0	0	0	0	0	0.636	0	0	0.636
ACTG1	MEPCE	9606.ENSP00000458162	9606.ENSP00000308546	0	0	0	0	0	0.421	0	0	0.420
ACTG1	ARID1A	9606.ENSP00000458162	9606.ENSP00000320485	0	0	0	0	0	0.225	0	0	0.225
ACTG1	SMARCE1	9606.ENSP00000458162	9606.ENSP00000323967	0	0	0	0	0	0.261	0	0	0.261
ACTG1	HSPA5	9606.ENSP00000458162	9606.ENSP00000324173	0	0	0	0	0	0.158	0	0	0.158
ACTG1	HEXIM1	9606.ENSP00000458162	9606.ENSP00000328773	0	0	0	0	0	0.292	0	0	0.292
ACTG1	HSP90AA1	9606.ENSP00000458162	9606.ENSP00000335153	0	0	0	0	0	0.180	0	0	0.180
ACTG1	KAT5	9606.ENSP00000458162	9606.ENSP00000340330	0	0	0	0	0	0.176	0	0	0.175
ACTG1	SMARCB1	9606.ENSP00000458162	9606.ENSP00000340883	0	0	0	0	0	0.397	0	0	0.397
ACTG1	SMARCA4	9606.ENSP00000458162	9606.ENSP00000343896	0	0	0	0	0	0.401	0	0	0.401
ACTG1	NFKB2	9606.ENSP00000458162	9606.ENSP00000358983	0	0	0	0	0	0.210	0	0	0.210
ACTG1	HSP90AB1	9606.ENSP00000458162	9606.ENSP00000360609	0	0	0	0	0	0.180	0	0	0.180
ACTG1	HDAC6	9606.ENSP00000458162	9606.ENSP00000365804	0	0	0	0	0	0.179	0	0	0.179
ACTG1	CHD3	9606.ENSP00000458162	9606.ENSP00000369716	0	0	0	0	0	0.345	0	0	0.345
ACTG1	BTF3	9606.ENSP00000458162	9606.ENSP00000369965	0	0	0	0	0	0.295	0	0	0.295
ACTG1	SMARCA2	9606.ENSP00000458162	9606.ENSP00000371638	0	0	0	0	0	0.290	0	0	0.290
ACTG1	SMARCD1	9606.ENSP00000458162	9606.ENSP00000378414	0	0	0	0	0	0.315	0	0	0.315
ACTG1	RELA	9606.ENSP00000458162	9606.ENSP00000384273	0	0	0	0	0	0.218	0	0	0.218
ACTG1	PBRM1	9606.ENSP00000458162	9606.ENSP00000386593	0	0	0	0	0	0.250	0	0	0.250
ACTG1	ZC3H18	9606.ENSP00000458162	9606.ENSP00000416951	0	0	0	0	0	0.314	0	0	0.314
ACTG1	LARP7	9606.ENSP00000458162	9606.ENSP00000422626	0	0	0	0	0	0.314	0	0	0.314
ACTG1	RAN	9606.ENSP00000458162	9606.ENSP00000446215	0	0	0	0	0	0.218	0	0	0.218
ACTG1	SMARCC2	9606.ENSP00000458162	9606.ENSP00000449396	0	0	0	0	0	0.309	0	0	0.309
ACTG1	H4C8	9606.ENSP00000458162	9606.ENSP00000489236	0	0	0	0	0	0.365	0	0	0.365
ACTG1	ARID1B	9606.ENSP00000458162	9606.ENSP00000490491	0	0	0	0	0	0.219	0	0	0.219
ADA	NR3C1	9606.ENSP00000361965	9606.ENSP00000231509	0	0	0	0	0	0.292	0	0	0.292
AGR2	FKBP4	9606.ENSP00000391490	9606.ENSP00000001008	0	0	0	0	0	0.166	0	0	0.165
AGR2	APMAP	9606.ENSP00000391490	9606.ENSP00000217456	0	0	0	0	0	0.166	0	0	0.165
AGR2	RPN2	9606.ENSP00000391490	9606.ENSP00000237530	0	0	0	0	0	0.292	0	0	0.292
AGR2	H4C6	9606.ENSP00000391490	9606.ENSP00000244537	0	0	0	0	0	0.292	0	0	0.292
AGR2	TRAP1	9606.ENSP00000391490	9606.ENSP00000246957	0	0	0	0	0	0.166	0	0	0.165
AGR2	CANX	9606.ENSP00000391490	9606.ENSP00000247461	0	0	0	0	0	0.510	0	0	0.510
AGR2	YWHAH	9606.ENSP00000391490	9606.ENSP00000248975	0	0	0	0	0	0.166	0	0	0.165
AGR2	TRIM28	9606.ENSP00000391490	9606.ENSP00000253024	0	0	0	0	0	0.292	0	0	0.292
AGR2	AKIRIN2	9606.ENSP00000391490	9606.ENSP00000257787	0	0	0	0	0	0.292	0	0	0.292
AGR2	LRPPRC	9606.ENSP00000391490	9606.ENSP00000260665	0	0	0	0	0	0.292	0	0	0.292
AGR2	RAB11A	9606.ENSP00000391490	9606.ENSP00000261890	0	0	0	0	0	0.292	0	0	0.292
AGR2	ATP5F1B	9606.ENSP00000391490	9606.ENSP00000262030	0	0	0	0	0	0.510	0	0	0.510
AGR2	TMED2	9606.ENSP00000391490	9606.ENSP00000262225	0	0	0	0	0	0.166	0	0	0.165
AGR2	RAB10	9606.ENSP00000391490	9606.ENSP00000264710	0	0	0	0	0	0.166	0	0	0.165
AGR2	NONO	9606.ENSP00000391490	9606.ENSP00000276079	0	0	0	0	0	0.292	0	0	0.292
AGR2	RPN1	9606.ENSP00000391490	9606.ENSP00000296255	0	0	0	0	0	0.166	0	0	0.165
AGR2	HMGB2	9606.ENSP00000391490	9606.ENSP00000296503	0	0	0	0	0	0.166	0	0	0.165
AGR2	PRDX3	9606.ENSP00000391490	9606.ENSP00000298510	0	0	0	0	0	0.166	0	0	0.165
AGR2	HSP90B1	9606.ENSP00000391490	9606.ENSP00000299767	0	0	0	0	0	0.292	0	0	0.292
AGR2	HSPA4	9606.ENSP00000391490	9606.ENSP00000302961	0	0	0	0	0	0.292	0	0	0.292
AGR2	GNB2	9606.ENSP00000391490	9606.ENSP00000305260	0	0	0	0	0	0.166	0	0	0.165
AGR2	RAB6A	9606.ENSP00000391490	9606.ENSP00000311449	0	0	0	0	0	0.166	0	0	0.165
AGR2	RBM14	9606.ENSP00000391490	9606.ENSP00000311747	0	0	0	0	0	0.292	0	0	0.292
AGR2	HNRNPD	9606.ENSP00000391490	9606.ENSP00000313199	0	0	0	0	0	0.292	0	0	0.292
AGR2	PRKDC	9606.ENSP00000391490	9606.ENSP00000313420	0	0	0	0	0	0.292	0	0	0.292
AGR2	DNAJA2	9606.ENSP00000391490	9606.ENSP00000314030	0	0	0	0	0	0.166	0	0	0.165
AGR2	MYEF2	9606.ENSP00000391490	9606.ENSP00000316950	0	0	0	0	0	0.166	0	0	0.165
AGR2	NCL	9606.ENSP00000391490	9606.ENSP00000318195	0	0	0	0	0	0.292	0	0	0.292
AGR2	CALR	9606.ENSP00000391490	9606.ENSP00000320866	0	0	0	0	0	0.166	0	0	0.165
AGR2	TUFM	9606.ENSP00000391490	9606.ENSP00000322439	0	0	0	0	0	0.292	0	0	0.292
AGR2	HSPA5	9606.ENSP00000391490	9606.ENSP00000324173	0	0	0	0	0	0.510	0	0	0.510
AGR2	HADHB	9606.ENSP00000391490	9606.ENSP00000325136	0	0	0	0	0	0.292	0	0	0.292
AGR2	NRIP1	9606.ENSP00000391490	9606.ENSP00000327213	0	0	0	0	0	0.230	0	0	0.229
AGR2	EEF1G	9606.ENSP00000391490	9606.ENSP00000331901	0	0	0	0	0	0.292	0	0	0.292
AGR2	HSP90AA1	9606.ENSP00000391490	9606.ENSP00000335153	0	0	0	0	0	0.292	0	0	0.292
AGR2	RTN4	9606.ENSP00000391490	9606.ENSP00000337838	0	0	0	0	0	0.166	0	0	0.165
AGR2	TUBB	9606.ENSP00000391490	9606.ENSP00000339001	0	0	0	0	0	0.292	0	0	0.292
AGR2	HSPD1	9606.ENSP00000391490	9606.ENSP00000340019	0	0	0	0	0	0.292	0	0	0.292
AGR2	SFN	9606.ENSP00000391490	9606.ENSP00000340989	0	0	0	0	0	0.166	0	0	0.165
AGR2	TUBB4B	9606.ENSP00000391490	9606.ENSP00000341289	0	0	0	0	0	0.292	0	0	0.292
AGR2	HMGB1	9606.ENSP00000391490	9606.ENSP00000345347	0	0	0	0	0	0.166	0	0	0.165
AGR2	DHCR7	9606.ENSP00000391490	9606.ENSP00000347717	0	0	0	0	0	0.166	0	0	0.165
AGR2	VAT1	9606.ENSP00000391490	9606.ENSP00000347872	0	0	0	0	0	0.166	0	0	0.165
AGR2	SFPQ	9606.ENSP00000391490	9606.ENSP00000349748	0	0	0	0	0	0.292	0	0	0.292
AGR2	STIP1	9606.ENSP00000391490	9606.ENSP00000351646	0	0	0	0	0	0.166	0	0	0.165
AGR2	AHNAK2	9606.ENSP00000391490	9606.ENSP00000353114	0	0	0	0	0	0.292	0	0	0.292
AGR2	DCAF6	9606.ENSP00000391490	9606.ENSP00000356814	0	0	0	0	0	0.292	0	0	0.292
AGR2	S100A8	9606.ENSP00000391490	9606.ENSP00000357721	0	0	0	0	0	0.292	0	0	0.292
AGR2	S100A9	9606.ENSP00000391490	9606.ENSP00000357727	0	0	0	0	0	0.292	0	0	0.292
AGR2	NFIA	9606.ENSP00000391490	9606.ENSP00000360231	0	0	0	0	0	0.292	0	0	0.292
AGR2	ALDH18A1	9606.ENSP00000391490	9606.ENSP00000360268	0	0	0	0	0	0.292	0	0	0.292
AGR2	HSP90AB1	9606.ENSP00000391490	9606.ENSP00000360609	0	0	0	0	0	0.510	0	0	0.510
AGR2	SET	9606.ENSP00000391490	9606.ENSP00000361777	0	0	0	0	0	0.292	0	0	0.292
AGR2	ZMPSTE24	9606.ENSP00000391490	9606.ENSP00000361845	0	0	0	0	0	0.166	0	0	0.165
AGR2	TXN	9606.ENSP00000391490	9606.ENSP00000363641	0	0	0	0	0	0.510	0	0	0.510
AGR2	HSPA1B	9606.ENSP00000391490	9606.ENSP00000364801	0	0	0	0	0	0.292	0	0	0.292
AGR2	HSPA1L	9606.ENSP00000391490	9606.ENSP00000364805	0	0	0	0	0	0.292	0	0	0.292
AGR2	SLC3A2	9606.ENSP00000391490	9606.ENSP00000367123	0	0	0	0	0	0.166	0	0	0.165
AGR2	DSP	9606.ENSP00000391490	9606.ENSP00000369129	0	0	0	0	0	0.166	0	0	0.165
AGR2	HADHA	9606.ENSP00000391490	9606.ENSP00000370023	0	0	0	0	0	0.292	0	0	0.292
AGR2	TFRC	9606.ENSP00000391490	9606.ENSP00000376197	0	0	0	0	0	0.166	0	0	0.165
AGR2	HSPA2	9606.ENSP00000391490	9606.ENSP00000378199	0	0	0	0	0	0.292	0	0	0.292
AGR2	VDAC1	9606.ENSP00000391490	9606.ENSP00000378487	0	0	0	0	0	0.292	0	0	0.292
AGR2	KTN1	9606.ENSP00000391490	9606.ENSP00000378725	0	0	0	0	0	0.166	0	0	0.165
AGR2	ATP5F1A	9606.ENSP00000391490	9606.ENSP00000381736	0	0	0	0	0	0.292	0	0	0.292
AGR2	PDIA6	9606.ENSP00000391490	9606.ENSP00000385385	0	0	0	0	0	0.510	0	0	0.510
AGR2	DAPK1	9606.ENSP00000391490	9606.ENSP00000386135	0	0	0	0	0	0.292	0	0	0.292
AGR2	DDOST	9606.ENSP00000391490	9606.ENSP00000399457	0	0	0	0	0	0.166	0	0	0.165
AGR2	POM121C	9606.ENSP00000391490	9606.ENSP00000481575	0	0	0	0	0	0.166	0	0	0.165
AGR2	CHD4	9606.ENSP00000391490	9606.ENSP00000440542	0	0	0	0	0	0.166	0	0	0.165
AGR2	PHGDH	9606.ENSP00000391490	9606.ENSP00000493382	0	0	0	0	0	0.166	0	0	0.165
AGR2	ARID1B	9606.ENSP00000391490	9606.ENSP00000490491	0	0	0	0	0	0.166	0	0	0.165
AGR2	PHB	9606.ENSP00000391490	9606.ENSP00000479488	0	0	0	0	0	0.166	0	0	0.165
AGR2	SMARCC2	9606.ENSP00000391490	9606.ENSP00000449396	0	0	0	0	0	0.166	0	0	0.165
AGR2	PTGES3	9606.ENSP00000391490	9606.ENSP00000482075	0	0	0	0	0	0.166	0	0	0.165
AGR2	ATP1A1	9606.ENSP00000391490	9606.ENSP00000445306	0	0	0	0	0	0.166	0	0	0.165
AGR2	RAN	9606.ENSP00000391490	9606.ENSP00000446215	0	0	0	0	0	0.292	0	0	0.292
AGR2	ETFA	9606.ENSP00000391490	9606.ENSP00000452762	0	0	0	0	0	0.292	0	0	0.292
AGR2	RACK1	9606.ENSP00000391490	9606.ENSP00000426909	0	0	0	0	0	0.292	0	0	0.292
AGR2	LPXN	9606.ENSP00000391490	9606.ENSP00000431284	0	0	0	0	0	0.292	0	0	0.292
AGR2	HNRNPU	9606.ENSP00000391490	9606.ENSP00000491215	0	0	0	0	0	0.292	0	0	0.292
AGR2	HBB	9606.ENSP00000391490	9606.ENSP00000494175	0	0	0	0	0	0.292	0	0	0.292
AGR2	TUBA1C	9606.ENSP00000391490	9606.ENSP00000443475	0	0	0	0	0	0.292	0	0	0.292
AGR2	SERPINH1	9606.ENSP00000391490	9606.ENSP00000434412	0	0	0	0	0	0.292	0	0	0.292
AGR2	HYOU1	9606.ENSP00000391490	9606.ENSP00000480150	0	0	0	0	0	0.292	0	0	0.292
AGR2	HSPA8	9606.ENSP00000391490	9606.ENSP00000437125	0	0	0	0	0	0.292	0	0	0.292
AGR2	DCD	9606.ENSP00000391490	9606.ENSP00000406773	0	0	0	0	0	0.420	0	0	0.420
AHNAK2	PCK2	9606.ENSP00000353114	9606.ENSP00000216780	0	0	0	0	0	0.307	0	0	0.307
AHNAK2	NR3C1	9606.ENSP00000353114	9606.ENSP00000231509	0	0	0	0	0	0.173	0	0	0.173
AHNAK2	SMARCC1	9606.ENSP00000353114	9606.ENSP00000254480	0	0	0	0	0	0.152	0	0	0.151
AHNAK2	AKIRIN2	9606.ENSP00000353114	9606.ENSP00000257787	0	0	0	0	0	0.304	0	0	0.304
AHNAK2	ARID4B	9606.ENSP00000353114	9606.ENSP00000264183	0	0	0	0	0	0.293	0	0	0.293
AHNAK2	VIRMA	9606.ENSP00000353114	9606.ENSP00000297591	0	0	0	0	0	0.301	0	0	0.301
AHNAK2	MED14	9606.ENSP00000353114	9606.ENSP00000323720	0	0	0	0	0	0.173	0	0	0.172
AHNAK2	KAT5	9606.ENSP00000353114	9606.ENSP00000340330	0	0	0	0	0	0.251	0	0	0.250
AHNAK2	SMARCB1	9606.ENSP00000353114	9606.ENSP00000340883	0	0	0	0	0	0.184	0	0	0.183
AHNAK2	PYCR2	9606.ENSP00000353114	9606.ENSP00000342502	0	0	0	0	0	0.446	0	0	0.446
AHNAK2	SMARCA4	9606.ENSP00000353114	9606.ENSP00000343896	0	0	0	0	0	0.189	0	0	0.189
AHNAK2	UTY	9606.ENSP00000353114	9606.ENSP00000442047	0	0	0	0	0	0.161	0	0	0.161
AHNAK2	LCK	9606.ENSP00000353114	9606.ENSP00000477713	0	0	0	0	0	0.177	0	0	0.177
AHNAK2	SMARCC2	9606.ENSP00000353114	9606.ENSP00000449396	0	0	0	0	0	0.152	0	0	0.151
AHNAK2	KDM6A	9606.ENSP00000353114	9606.ENSP00000367203	0	0	0	0	0	0.161	0	0	0.161
AHNAK2	SMARCD1	9606.ENSP00000353114	9606.ENSP00000378414	0	0	0	0	0	0.181	0	0	0.181
AHNAK2	SMARCA2	9606.ENSP00000353114	9606.ENSP00000371638	0	0	0	0	0	0.189	0	0	0.189
AHNAK2	PBRM1	9606.ENSP00000353114	9606.ENSP00000386593	0	0	0	0	0	0.170	0	0	0.169
AHNAK2	CIT	9606.ENSP00000353114	9606.ENSP00000376306	0	0	0	0	0	0.292	0	0	0.292
AHNAK2	KIF14	9606.ENSP00000353114	9606.ENSP00000356319	0	0	0	0	0	0.292	0	0	0.292
AHR	STUB1	9606.ENSP00000242057	9606.ENSP00000219548	0	0	0	0	0	0.510	0	0	0.510
AHR	TBP	9606.ENSP00000242057	9606.ENSP00000230354	0	0	0	0	0	0.510	0	0	0.510
AHR	HSP90B1	9606.ENSP00000242057	9606.ENSP00000299767	0	0	0	0	0	0.273	0	0	0.273
AHR	MED1	9606.ENSP00000242057	9606.ENSP00000300651	0	0	0	0	0	0.287	0	0	0.286
AHR	KIF14	9606.ENSP00000242057	9606.ENSP00000356319	0	0	0	0	0	0.292	0	0	0.292
AHR	DAP3	9606.ENSP00000242057	9606.ENSP00000357320	0	0	0	0	0	0.292	0	0	0.292
AHR	VIRMA	9606.ENSP00000242057	9606.ENSP00000297591	0	0	0	0	0	0.292	0	0	0.292
AHR	TSC1	9606.ENSP00000242057	9606.ENSP00000298552	0	0	0	0	0	0.299	0	0	0.299
AHR	TRAP1	9606.ENSP00000242057	9606.ENSP00000246957	0	0	0	0	0	0.299	0	0	0.299
AHR	SMARCA4	9606.ENSP00000242057	9606.ENSP00000343896	0	0	0	0	0	0.292	0	0	0.292
AHR	SP1	9606.ENSP00000242057	9606.ENSP00000329357	0	0	0	0	0	0.294	0	0	0.294
AHR	PASD1	9606.ENSP00000242057	9606.ENSP00000359382	0	0	0	0	0	0.303	0	0	0.303
